"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","115","Тест авторизации с неверным паролем","tests","2026-02-19","passed","2026-02-19","TestCourierLogin","test_courier_login","",""
"","84","Тест на успешное создание курьера","tests","2026-02-19","passed","2026-02-19","TestCourierCreate","test_courier_create","",""
"","283","Тест успешного удаления курьера","tests","2026-02-19","passed","2026-02-19","TestCourierDelete","test_delete_courier","",""
"","99","Тест создания заказа с разными цветами","tests","2026-02-19","passed","2026-02-19","TestCreateOrder","test_create_order","",""
"","9427","Тест получения списка заказов","tests","2026-02-19","passed","2026-02-19","TestOrdersList","test_order_list","",""
"","203","Тест успешного получения заказа по номеру","tests","2026-02-19","passed","2026-02-19","TestGetOrder","test_get_order","",""
"","241","Тест успешного принятия заказа","tests","2026-02-19","passed","2026-02-19","TestAcceptOrder","test_accept_order","",""
"","60096","Тест на ошибку при авторизации без заполнения обязательного поля","tests","2026-02-19","failed","2026-02-19","TestCourierLogin","test_courier_login","",""
"","102","Тест создания заказа с разными цветами","tests","2026-02-19","passed","2026-02-19","TestCreateOrder","test_create_order","",""
"","119","Тест создания заказа с разными цветами","tests","2026-02-19","passed","2026-02-19","TestCreateOrder","test_create_order","",""
"","66","Тест на создание курьера без обязательных полей","tests","2026-02-19","passed","2026-02-19","TestCourierCreate","test_courier_create","",""
"","193","Тест принятия заказа без ID курьера","tests","2026-02-19","passed","2026-02-19","TestAcceptOrder","test_accept_order","",""
"","90","Тест на создание курьера без обязательных полей","tests","2026-02-19","failed","2026-02-19","TestCourierCreate","test_courier_create","",""
"","67","Тест на ошибку при авторизации без заполнения обязательного поля","tests","2026-02-19","passed","2026-02-19","TestCourierLogin","test_courier_login","",""
"","85","Тест успешной авторизации курьера","tests","2026-02-19","passed","2026-02-19","TestCourierLogin","test_courier_login","",""
"","110","Тест создания заказа с разными цветами","tests","2026-02-19","passed","2026-02-19","TestCreateOrder","test_create_order","",""
"","164","Тест авторизации с неверным логином","tests","2026-02-19","passed","2026-02-19","TestCourierLogin","test_courier_login","",""
"","83","Тест на ошибку при создании курьера с существующим логином","tests","2026-02-19","passed","2026-02-19","TestCourierCreate","test_courier_create","",""
"","0","Тест удаления курьера без передачи ID","tests","2026-02-19","passed","2026-02-19","TestCourierDelete","test_delete_courier","",""
"","96","Тест удаления курьера с несуществующим ID","tests","2026-02-19","passed","2026-02-19","TestCourierDelete","test_delete_courier","",""
"","90","Тест на ошибку при создании двух одинаковых курьеров","tests","2026-02-19","passed","2026-02-19","TestCourierCreate","test_courier_create","",""
"","65","Тест на создание курьера без обязательных полей","tests","2026-02-19","passed","2026-02-19","TestCourierCreate","test_courier_create","",""
"","60146","Тест на ошибку при авторизации без заполнения обязательного поля","tests","2026-02-19","failed","2026-02-19","TestCourierLogin","test_courier_login","",""
"","91","Тест получения несуществующего заказа","tests","2026-02-19","passed","2026-02-19","TestGetOrder","test_get_order","",""
"","289","Тест принятия заказа с неверным ID заказа","tests","2026-02-19","failed","2026-02-19","TestAcceptOrder","test_accept_order","",""
"","289","Тест принятия заказа с неверным ID курьера","tests","2026-02-19","passed","2026-02-19","TestAcceptOrder","test_accept_order","",""
"","256","Тест принятия заказа без ID заказа","tests","2026-02-19","passed","2026-02-19","TestAcceptOrder","test_accept_order","",""
"","0","Тест получения заказа без номера","tests","2026-02-19","passed","2026-02-19","TestGetOrder","test_get_order","",""
